Unnamed: 0,text,Recyclability_Negative,Recyclability_Neutral,Recyclability_Positive,Recyclability (PET)_Negative,Recyclability (PET)_Neutral,Recyclability (PET)_Positive,Recycling_Negative,Recycling_Neutral,Recycling_Positive,Future_Negative,Future_Neutral,Future_Positive
21,nuning sulistyani olah sampah plastik jadi peluang bisnis,False,True,False,False,True,False,False,False,True,False,False,True
22,menteri siti nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
31,menteri siti nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
38,menteri lhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
48,perintah ajak masyarakat olah sampah plastik jadi sumner daya ekonomi  ekonomirimeningkat,False,True,False,False,True,False,False,False,True,False,False,True
49,usung sirkular ekonomi kemenperin dukung industri olah sampah plastik,False,False,True,False,True,False,False,False,True,False,False,True
53,klhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi ,False,True,False,False,True,False,False,False,True,False,False,True
54,keren  bank sampah olah limbah plastik jadi nila ekonomi bacadibj beritajakarta dkijakarta banksampah,False,True,False,False,True,False,False,False,True,False,False,True
73,nestl luncur bangku kerangka buat  daur ulang plastik sachet pasca - konsumsi  komitmen nestl dukung tingkat angka daur ulang  amp  ekonomi sirkular,False,False,True,False,True,False,False,False,True,False,False,True
74,sambut datang usaha kolombia bidang daur ulang plastik dubes ri tatang razak tim ekonomi papar potensi ekonomi regulasi investasi indonesia  inidiplomasi rintiskemajuan,False,False,True,False,True,False,False,True,False,False,True,False
78,wujud komitmen dukung program perintah kait kelola sampah plastik ekonomi sirkular coca - cola diri fasilitas daur ulang botol plastik pet kelola pt amandina bumi nusantara  simak insight with hari cnn indonesia ,False,False,True,False,False,True,False,True,False,False,False,True
85,salah satu tempat daur ulang botol plastik lombok pet kawasan ranji lombok barat  salah satu unit bisnis daur ulang recycling business unit damping indonesia kelola ud lombok pet  circulareconomy bijakberplastik,False,False,True,False,False,True,False,True,False,False,False,True
86,sejak danone - aqua lalu dekat ekonomi sirkular turut andil sukses komitmen perintah kurang  sampah plastik laut indonesia tahun  ekonomi sirkular ala aqua fokus manfaat limbah plastik bahan daur ulang,False,False,True,False,False,True,False,False,True,False,False,True
89,danone aqua jadi pelopor kemas ramah lingkung tahun lewat aqua galon  bisnis sirkular  danone aqua ambil langkah besar bantu selesai sampah plastik indonesia luncur aqua life buat  plastik daur ulang ,False,False,True,False,False,True,False,False,True,False,False,True
93,usaha daur ulang sampah plastik indonesia  lndustri daur ulang plastik nasional proyeksi terus tumbuh  kendala klasik adang bisnis manfaat buat lingkung ,True,False,False,False,False,True,False,False,True,False,False,True
101,halo sobat laut sedang langsung fgd susun pedoman kelola sampah plastik alat tangkap ikan ayo kembang industri daur ulang alat tangkap ikan indonesia minim aldfg marinedebris tknpsl,False,False,True,False,True,False,False,True,False,False,True,False
102,pt coca cola europasific partners indonesia tanam investasi besar rp miliar bangun fasilitas daur ulang sampah plastik kawasan industri cikarang ,False,False,True,False,False,True,False,True,False,False,False,True
103,pj  bupati bekas damping menteri koordinator bidang maritim investasi republik indonesia luhut binsar pandjaitan rangka resmi pabrik daur ulang botol plastik jenis polyethylene terephthalate  pet ,False,False,True,False,False,True,False,True,False,False,False,True
111,kunjung services indonesia salah satu mitra bisnis daur ulang - aqua sampah kemas plastik kumpul olah standar jadi material rpet  recycle pet  untukbahan baku botol plastik baru  bijakberplastik,False,True,False,False,False,True,False,True,False,False,False,True
119,investor takut investasi indonesia pdn gampang bocor produk buat plastik daur ulang,False,True,False,True,False,False,False,True,False,True,False,False
121,bank mandiri jadi bank pertama indonesia terbit kartu debit kartu prabayar e - money bahan plastik pvc daur ulang  bisnisupdate update bisnis text,False,False,True,False,True,False,False,True,False,False,False,True
122,tim kampanye jelajah bersih negeri singgah pabrik daur ulang plastik veolia indonesia kawasan pasuruan industrial estate rembang  pier  pasuruan jawa timur februari ,False,False,True,False,True,False,False,True,False,False,True,False
132,ipi terus juang ekosistem  amp  sirkuler ekonomi sampah daur ulang plastik utama kantong kresek jokowi klhk indonesia bumnuntukindonesia kemenperin pupr,False,False,True,False,True,False,False,True,False,False,False,True
133,kota deltamas sama pemkab bekas hadir inovasi aspal bahan plastik daur ulang jakarta adopsi konsep ekonomi sirkular indonesia pimpin solusi efektif kelola limbah plast,False,False,True,False,True,False,False,False,True,False,False,True
134,daur ulang indonesia terlalu maju  anak muda buat jam tangan sampah plastik sinar terang usaha startup henti rusa lingkung  sedang proses dukung giat maksimal ,False,False,True,False,True,False,False,False,True,False,False,True
136,pantas laku bisnis sampah kok sedikit indonesia  kalau aku tajir sih  kapan wkwk  aku mau bangun pabrik daur ulang sampah plastik,False,False,True,False,True,False,False,True,False,False,True,False
145,makanya gk heran sampah plastik pet jadi primadona dunia  ketua umum asosiasi daur ulang plastik indonesia  adupi  christine halim kata sampah plastik pet  polyethylene terephthalate  sangat mati industri daur ulang seluruh dunia ,False,False,True,False,False,True,False,True,False,False,False,True
152,sudrajad tuju impor sampah plastik utama bahan baku daur ulang lebih murah banding plastik baru  untung industri daur ulang ekonomi utama negara kembang indonesia margin untung - tantang besar  banyak,True,False,False,False,False,True,False,False,True,False,False,True
161,kontribusi kelola sampah plastik indonesia unit bisnis daur ulang daya pulung jadi laku industri ekonomi sirkular,False,True,False,False,True,False,False,False,True,False,False,True
162,coca - cola europacific partners indonesia dynapack asia resmi fasilitas daur ulang botol plastik pet bekas  sustainable sustainability lanjut lanjut csr majalahcsrid indonesia bisnisberkelanjutan botolpet botolplastik,False,False,True,False,False,True,False,True,False,False,False,True
169,anak artis amerika serikat zooey deschanel viral kirim surat startup daur ulang indonesia request plastik rasa cokelat ,False,True,False,False,True,False,False,True,False,False,False,True
170,luncur pabrik daur ulang botol plastik ccep indonesia dynapack asia promosi dekat sebut - sebut pacu ekonomi sirkular bantu atas masalah lingkung  baca artikel lengkap green network indonesia ,False,False,True,False,False,True,False,True,False,False,False,True
172,coba kalau gin apa gak malu  bukan prestasi yg dunia malah sampah yg dunia  pabrik daur ulang sampah hrus galak ekonomi sirkular jg makin tumbuh  sampah plastik indonesia temu dampar hingga afrika,False,True,False,True,False,False,False,True,False,True,False,False
173,padahal banyak potensi cuan hasil dri daur ulang sampah jadi kembang ekonomi sirkular  tingkat daur ulang sampah plastik indonesia rendah,True,False,False,False,False,True,False,False,True,False,False,True
175,indonesia mampu laku tinggal tunggu gercep mas tweet  amp  buat atur kota  amp  kabupaten punya bumd pabrik daur ulang plastik  amp  serentak  serap tenaga kerja tumbuh ekonomi indonesia  bravo,False,False,True,False,True,False,False,False,True,False,False,True
177,ketua umum asosiasi daur ulang plastik indonesia  adupi  christine halim ungkap industri daur ulang mampu jadi hubung lingkar ekonomisirkular lama sambung  stage,False,False,True,False,False,True,False,True,False,False,False,True
186,jatim jajak olah sampah plastik jadi listrik industri,False,True,False,False,True,False,False,False,True,False,False,True
192,pemkab kobar cari ide olah sampah plastik jadi barang ekonomi,False,True,False,False,True,False,False,True,False,False,False,True
193,pemkab kobar cari ide olah sampah plastik nila ekonomis,False,True,False,False,True,False,False,True,False,False,False,True
201,klhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
220,industrialisasi zero waste kini ntb mampu olah sampah plastik jadi solar,False,False,True,False,True,False,False,True,False,False,False,True
226,klhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
278,hilir memang betul  contoh jangan daun teh tweet misal batubara jadi dme sampah plastik jadi listrik teknologi yg mungkin terap indonesia  amp  angkat sosial ekonomi masyarakat ,False,False,True,False,True,False,False,False,True,False,False,True
284,wakil ketua komisi vii dpr ri evita nursanty minta menteri industri  kemenperin  dukung upaya wujud bal bebas sampah plastik sekali pakai larang produksi air minum kemas ,False,True,False,True,False,False,False,True,False,True,False,False
295,latih daur ulang sampah plastik sma st  yosef surakarta jadi barang nila ekonomis ,False,False,True,False,True,False,False,False,True,False,False,True
299,wagub nyanyang kunjung pt  free the sea tinjau industri daur ulang sampah plastik batam,False,False,True,False,True,False,False,True,False,False,False,True
311,brin dorong inovasi teknologi iradiasi daur ulang plastik bas ekonomi sirkular,False,False,True,False,True,False,False,False,True,False,False,True
322,unilever indonesia ajak masyarakat libat aktif kelola sampah plastik lalu edukasi ekonomi sirkuler sampah plastik rumah tangga,False,False,True,False,True,False,False,False,True,False,False,True
343,mesin extruder lembar plastik solusi canggih produksi lembar plastik kualitas tinggi  teknologi modern mesin mampu hasil material kuat presisi serbaguna  extruderplastik mesinindustri manufaktur injectionmolding teknologiindustri,False,True,False,False,True,False,False,True,False,False,False,True
355,indonesia ekonomi sirkular jadi solusi kurang bocor kelola sampah plastik  mubadalahid,False,True,False,False,True,False,False,False,True,False,False,True
366,tsai jin peng sosok diri merek ramah lingkung for next generation  fng fokus teknologi benang daur ulang botol plastik pet  tsai jin - peng tekad praktek konsep ekonomi sirkular anggap bahan benang daur ulang,False,True,False,False,False,True,False,False,True,False,False,True
376,salah satu tempat daur ulang botol plastik lombok pet kawasan ranji lombok barat  salah satu unit bisnis daur ulang recycling business unit damping indonesia kelola ud lombok pet  circulareconomy bijakberplastik,False,True,False,False,False,True,False,True,False,False,False,True
378,pj  bupati bekas damping menteri koordinator bidang maritim investasi republik indonesia luhut binsar pandjaitan rangka resmi pabrik daur ulang botol plastik jenis polyethylene terephthalate  pet ,False,False,True,False,False,True,False,True,False,False,False,True
380,aqua wujud bisnis lanjut daur ulang pet aqua bisnisberkelanjutan daurulang lingkung plastikpet ekonomihijau sustainability industriminuman,False,False,True,False,False,True,False,True,False,False,False,True
381,pantes galon sekali pakai jadi primadona industri daur ulang krn sangat mudah bahan utk daur ulang jadi bagai produk yg milik nilai tinggi geotekstil dakron pakai  siapa sangka olah pet nyata jadi salah satu sumber ekspor indonesia ,False,False,True,False,False,True,False,False,True,False,False,True
384,tahu lebih jelas kena kontribusi rantai nilai sampah plastik minum ringan ekonomi sirkular swi laku riset wilayah jabodetabek lama periode maret agustus  riset sebut tingkat daur ulang recycling rate botol pet,False,True,False,False,False,True,False,True,False,False,False,True
388,sampah galon sekali pakai jadi incar industri daur ulang  sejak mengunakan galon sekali pakai jadi tahu nyata galon pet idola industri daur ulang pantesan jenis plastik pet banyak cari pulung punya nilai cukup tinggi ,False,True,False,False,False,True,False,True,False,False,False,True
389,plastik bahan pet ramah lingkung mudah daur ulang  bahkan hasil riset swi daur ulang plastik pet kontribusi besar bg ekonomi masyarakat khusus kepul sampah  jadi kepul sampah plastik pet ibarat  emas  yg sangat laku jual ,False,True,False,False,False,True,False,True,False,False,False,True
398,jadi pakai tshirt  amp  sepatu hasil daur ulang jg potensi bahaya  blm atur regulasi  negeri regulator aman pangan malah justru cawe - cawe urus saing bisnis  konsisten lawan bahaya kandung bpa  amp  senyawa yg pet ,False,True,False,True,False,False,False,True,False,True,False,False
399,kunjung services indonesia salah satu mitra bisnis daur ulang - aqua sampah kemas plastik kumpul olah standar jadi material rpet  recycle pet  untukbahan baku botol plastik baru  bijakberplastik,False,False,True,False,False,True,False,False,True,False,False,True
400,jakarta - usaha daur ulang limbah pet indonesia pt inocycle technology group tbk  inov  ambil langkah strategis tingkat jual lalu diversifikasi bisnis  baca lengkap   idnfinancials inov jual beritasaham,False,False,True,False,False,True,False,True,False,False,False,True
402,kalau udh ga jadi pot galon pet masuk pabrik daur ulang plastik  serap industri daur ulang thd galon pet paling tinggi galon bekas ukur besar mudah kelola tarik buat pulung nilai ekonomi tinggi ,False,True,False,False,False,True,False,False,True,False,False,True
406,investasi nila rp miliar produksi pet daur ulang  recycled pet  rpet  kurang plastik murni  virgin pet ,False,False,True,False,False,True,False,True,False,False,False,True
407,wujud praktik bisnis ramah lingkung pt namasindo plas energi surya buat botol pet daur ulang,False,False,True,False,True,False,False,True,False,False,True,False
408,marak investasi pabrik daur ulang pet menperin  wujud ekonomi sirkular industri hijau bigdata database dataresearch,False,False,True,False,False,True,False,False,True,False,False,True
409,galon sekali pakai jadi primadona industri daur ulang krn saking mudah bahan utk daur ulang jadi bagai produk yg milik nilai tinggi geotekstil dakron pakai  bahkan olah pet nyata jadi salah satu sumber ekspor indonesia lho ,False,True,False,False,False,True,False,True,False,False,False,True
410,coca - cola europacific partners indonesia  ccep indonesia  baru resmi pabrik daur ulang botol plastik polyethylene terephthalate  pet  rabu  kawasan industri cikarang bekas jawa barat ,False,False,True,False,False,True,False,False,True,False,False,True
414,galon bekas le minerale harga rp kilogram kata kepul sampah langgan ku memang harga galon pet lumayan mahal sangat suka industri daur ulang jadi tinggal pilih mau jual daur ulang jadi kreasi pot bunga ,False,True,False,False,False,True,False,False,True,False,False,True
415,ri galon bpa harga kemas lebih mahal daya saing laku industri nya rendah nah galon pet harga kemas lebih murah justru daya siang laku usaha lebih tinggi  hasil daur ulang limbah galon pet jadi produk turun baru agam ,False,True,False,False,False,True,False,True,False,False,False,True
416,jangan malu aku galon sekali pakai inovasi baik bahan pakai pet jadi punya nilai tinggi utk daur ulang stop bodoh masyarakat penting bolak balik fakta yg benar lindung bisnis satu pihak ,False,False,True,False,False,True,False,True,False,False,False,True
417,makanya gk heran sampah plastik pet jadi primadona dunia  ketua umum asosiasi daur ulang plastik indonesia  adupi  christine halim kata sampah plastik pet  polyethylene terephthalate  sangat mati industri daur ulang seluruh dunia ,False,False,True,False,False,True,False,True,False,False,False,True
419,resmi pabrik daur ulang pet teknologi food grade menperin optimistis kuat ekosistem daur ulang ekonomi sirkular ,False,False,True,False,False,True,False,False,True,False,False,True
422,bangun fasilitas daur ulang sampah plastik rupa bentuk komitmen dukung konsep ekonomi lanjut patut apresiasi ,False,False,True,False,True,False,False,True,False,False,False,True
423,fokus resin kemas pet daur ulang amandina komitmen jalan praktik industri lanjut,False,False,True,False,False,True,False,True,False,False,False,True
430,pet milik nilai ekonomi relatif tinggi stabil sifat - sifat warna jernih ringan mudah bentuk mudah pecah  jenis plastik banyak butuh industri daur ulang jadi solusi yg efektif,False,True,False,False,False,True,False,False,True,False,False,True
431,galon isi ulang yg bahan bpa kategori material plastik paling sulit daur ulang  jelas bahaya lingkung  galon pet paling mudah nila daur ulang  mudah kelola kumpul nilai ekonomi tinggi jadi suka kumpul sampah ,False,True,False,False,False,True,False,True,False,False,False,True
432,punya nilai ekonomis daur ulang galon sekali pakai jauh lebih tinggi banding kemas gelas botol kecil sekali pakai  gak percaya  coba cek deh tpa kalian temu galon pet gunung sampah sortir pulung ,False,True,False,False,False,True,False,True,False,False,False,True
436,tengah isu lingkung makin desak industri daur ulang hadap tantang besar ,False,True,False,False,True,False,True,False,False,False,True,False
440,suram suram bahan baku pet impor kata sampah botol aqua gak beguna dong mata industri daur ulang,False,True,False,True,False,False,False,True,False,True,False,False
447,sayang banget industrial daur ulang ganjal sampah pet,False,True,False,True,False,False,False,True,False,True,False,False
452,industri daur ulang kira roket buah proyeksi baru kira industri daur ulang roket capai nilai rp  triliun  plastik pet muncul pelopor tempat pangsa persen ,False,False,True,False,False,True,False,True,False,False,False,True
453,wujud komitmen dukung program perintah kait kelola sampah plastik ekonomi sirkular coca - cola diri fasilitas daur ulang botol plastik pet kelola pt amandina bumi nusantara ,False,False,True,False,False,True,False,True,False,False,False,True
454,dukung industri lanjut mayora group hadir pabrik daur ulang pet lokal teknologi foodgrade,False,False,True,False,False,True,False,True,False,False,False,True
