sentimenteffective,sentimentpet,sentimentprocess,sentimentrecycle,text
Positive,Neutral,Positive,Positive,milik bank sampah mata cahari ortu anak kreativitas dewasa olah sampah sejak pandemi busa pustaka bandar lampung milik giat olah sampah plastik anak  kadang jual kadang buat sendiri  penting jadi kreatif
Positive,Positive,Positive,Positive,kolaborasi aqua h  amp  m olah sampah botol plastik jadi pakai anak - anak
Neutral,Negative,Negative,Negative,thankyou hero -- reposted from daur ulang bukan solusi unjung amsterdam plastic reycling centre  60  sampah plastik olah jadi scrap plastik  40  sampah akhir incenerator 
Neutral,Neutral,Positive,Positive,hebat  udinus semarang hasil olah sampah plastik jadi campur aspal 
Neutral,Neutral,Positive,Positive,jalan edy ginting hingga olah sampah plastik jadi lukis
Neutral,Neutral,Positive,Positive,video  peduli lingkung seniman olah sampah plastik jadi lukis estetik
Neutral,Neutral,Neutral,Positive, video  jumlah desa klungkung olah sampah plastik jadi bahan bakar
Neutral,Negative,Neutral,Negative,nyata mayoritas sampah bantargebang sampah plastic sisa makan lhoo  makanya kurang barang plastik  amp  olah sampah organic jadi lebih  misal kompos eco enzyme  gunung sampah bantargebang kurang 
Neutral,Neutral,Positive,Positive,asn jember peduli lingkung olah sampah plastik jadi rajin
Positive,Neutral,Positive,Positive,anak lpka lombok tengah olah sampah plastik jadi rajin
Neutral,Neutral,Neutral,Positive,olah sampah plastik jadi bahan baku aspal jalan
Positive,Neutral,Positive,Positive,sbi pemkab bantul kerja sama olah sampah plastik beritajogja jogja jogjaistimewa
Positive,Neutral,Positive,Positive,komitmen olah sampah plastik bangun pabrik daur ulang
Positive,Neutral,Neutral,Positive,kolaborasi olah sampah plastik bantargebang jadi sumber energi baru
Positive,Neutral,Neutral,Positive,immpa kenal ecobrick bagai terobos olah sampah plastik
Neutral,Neutral,Neutral,Positive,bumdes purbalingga olah sampah plastik jadi bbm
Neutral,Neutral,Neutral,Positive,olah sampah plastik jadi bbm
Neutral,Neutral,Positive,Positive,ecobricks solusi cerdas olah sampah plastik
Neutral,Neutral,Neutral,Positive,warga binjai olah sampah plastik jadi bbm
Neutral,Neutral,Neutral,Positive,dlh klu olah sampah plastik jadi solar
Neutral,Neutral,Positive,Positive,ide bagus olah sampah pasang desainer sulap limbah plastik laut jadi furniture
Neutral,Neutral,Positive,Positive,nuning sulistyani olah sampah plastik jadi peluang bisnis
Neutral,Neutral,Positive,Positive,menteri siti nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi
Neutral,Neutral,Positive,Positive,bank sampah sleman olah sampah plastik jadi bbm hasil 35 liter solar hari
Positive,Neutral,Neutral,Positive,mahasiswa ugm olah sampah plastik jadi bahan bakar minyak
Positive,Negative,Positive,Negative,sktr 7 milyar ton limbah plastik yg hasil scr global 10  yg daur ulang  indonesia punya pahlawan sampah made janur yasa yg alam olah sampah plastik bal lewat diskusi plasticbagfreeday
Neutral,Neutral,Positive,Positive,atas masalah sampah desa sayan rencana olah sampah plastik jadi bbm
Neutral,Neutral,Neutral,Positive,rusa prajogo pangestu  amp  hartono olah sampah plastik jadi bahan aspal
Neutral,Neutral,Neutral,Positive,olah sampah plastik jadi jenang krunguku
Positive,Neutral,Neutral,Positive,riza farizaha siswi smkn 2 diri olah sampah plastik jadi minyak
Neutral,Neutral,Positive,Positive,chandra asri  tpia  olah sampah plastik jadi bahan baku aspal jalan tegal emiten
Neutral,Neutral,Positive,Positive,menteri siti nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi
Neutral,Neutral,Positive,Positive,kreatif abis yayasan rimba indonesia olah sampah plastik jadi bbm
Positive,Neutral,Positive,Positive,investor australia olah sampah plastik kebon kongok jadi solar
Neutral,Neutral,Positive,Positive,sinar mas land chanda asri olah sampah plastik warga bsd city
Neutral,Neutral,Neutral,Positive,cara olah sampah plastik jadi bahan komposit beton  news  taucepattanpabatas beritaterkini kampus kampusupdate 
Positive,Neutral,Positive,Positive,olah sampah plastik jadi bbm rencana depan nelayan daerah beritabaru beritabarujatim beritajatim beritabaruco
Positive,Positive,Neutral,Positive,padahal besok tuh cuma mau beberes bank sampah malah mau ikut ajar olah sampah plastik wkwk
Neutral,Neutral,Positive,Positive,menteri lhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi
Neutral,Neutral,Positive,Neutral,tropical go green olah sampah plastik
Neutral,,Neutral,Positive,tpst asri olah sampah plastik jadi bbm
Neutral,Neutral,Neutral,Positive,ajik anggi olah sampah plastik jadi bbm begini cerita
Neutral,Neutral,Positive,Positive,tak pernah bosan olah sampah plastik nikmat proses
Neutral,Neutral,Positive,Positive,tim antasena its sukses olah sampah plastik jadi bahan baku 3d printing
Neutral,Neutral,Positive,Positive,wow  warga kalas sleman ajar cara olah sampah plastik jadi bbm
Neutral,Neutral,Neutral,Positive,brin pemkab banjarnegara olah sampah plastik jadi bahan bakar petasol
Positive,Neutral,Positive,Positive,brin pemkot semarang olah sampah plastik jadi bahan bakar petasol tara solar tempotekno
Neutral,Neutral,Neutral,Positive,dusun dekat candi prambanan yogyakarta olah sampah plastik cara tak biasa tempotravel
Neutral,Neutral,Positive,Positive,perintah ajak masyarakat olah sampah plastik jadi sumner daya ekonomi  ekonomirimeningkat
Positive,Neutral,Positive,Positive,usung sirkular ekonomi kemenperin dukung industri olah sampah plastik
Neutral,Neutral,Neutral,Positive,kelompok sadar wisata wonosobo olah sampah plastik jadi bahan bakar
Positive,Neutral,Neutral,Positive,sbi pemkab bantul kerja sama olah sampah plastik -
