sentimenteffective,sentimentpet,sentimentprocess,sentimentrecycle,text
Positive,Neutral,Positive,Positive,selain memiliki Bank Sampah untuk mata pencaharian para ortu anak dan kreativitas para dewasa olah sampah sejak pandemi Busa Pustaka di Bandar Lampung juga memiliki kegiatan olah sampah plastik untuk anak. kadang mereka jual kadang buat sendiri. yang penting jadi kreatif 
Positive,Positive,Positive,Positive,Kolaborasi Aqua dan H&amp;M Olah Sampah Botol Plastik Jadi Pakaian Anak-Anak 
Neutral,Negative,Negative,Negative,Thankyou Hero --------------------------------------- Reposted from @aeshnina DAUR ULANG BUKAN SOLUSI Mengunjungi Amsterdam plastic reycling centre. Hanya 60%sampah plastik yang dapat mereka olah menjadi scrap plastik. 40%sampah harus berakhir di incenerator. 
Neutral,Neutral,Positive,Positive,Hebat! Udinus Semarang Berhasil Olah Sampah Plastik Jadi Campuran Aspal!  
Neutral,Neutral,Positive,Positive,Perjalanan Edy Ginting hingga Bisa Olah Sampah Plastik Jadi Lukisan 
Neutral,Neutral,Positive,Positive,VIDEO: Peduli Lingkungan Seniman Ini Olah Sampah Plastik Jadi Lukisan Estetik 
Neutral,Neutral,Neutral,Positive,[VIDEO] Sejumlah Desa di Klungkung Olah Sampah Plastik Jadi Bahan Bakar  
Neutral,Negative,Neutral,Negative,Ternyata mayoritas sampah yang ada di Bantargebang adalah sampah plastic dan sisa makanan lhoo. Makanya kurangi penggunaan barang plastik &amp; olah sampah organic menjadi lebih berguna. Misalnya untuk kompos atau eco enzyme. Supaya gunungan sampah di Bantargebang bisa berkurang. 
Neutral,Neutral,Positive,Positive,ASN di Jember Peduli Lingkungan Olah Sampah Plastik jadi Kerajinan  
Positive,Neutral,Positive,Positive,Anak LPKA Lombok Tengah Olah Sampah Plastik Jadi Kerajinan  
Neutral,Neutral,Neutral,Positive,Olah Sampah Plastik jadi Bahan Baku Aspal Jalan  
Positive,Neutral,Positive,Positive,SBI dan Pemkab Bantul Kerja Sama Olah Sampah Plastik  #beritajogja #jogja #jogjaistimewa 
Positive,Neutral,Positive,Positive,Komitmen Olah Sampah Plastik Bangun Pabrik Daur Ulang 
Positive,Neutral,Neutral,Positive,Kolaborasi Olah Sampah Plastik di Bantargebang Jadi Sumber Energi Terbarukan 
Positive,Neutral,Neutral,Positive,IMMPA Kenalkan Ecobrick sebagai Terobosan Olah Sampah Plastik  
Neutral,Neutral,Neutral,Positive,BUMDes di Purbalingga Olah Sampah Plastik Jadi BBM 
Neutral,Neutral,Neutral,Positive,Olah Sampah Plastik Menjadi BBM  
Neutral,Neutral,Positive,Positive,Ecobricks Solusi Cerdas Olah Sampah Plastik 
Neutral,Neutral,Neutral,Positive,Warga Binjai Olah Sampah Plastik Jadi BBM 
Neutral,Neutral,Neutral,Positive,DLH KLU Olah Sampah Plastik Jadi Solar 
Neutral,Neutral,Positive,Positive,Ide Bagus Olah Sampah Pasangan Desainer Sulap Limbah Plastik di Laut Jadi Furniture  
Neutral,Neutral,Positive,Positive,Nuning Sulistyani Olah Sampah Plastik Jadi Peluang Bisnis 
Neutral,Neutral,Positive,Positive,Menteri Siti Nurbaya Ajak Masyarakat Olah Sampah Plastik Menjadi Sumber Daya Ekonomi 
Neutral,Neutral,Positive,Positive,Bank Sampah di Sleman Olah Sampah Plastik Jadi BBM Hasilkan 35 Liter Solar Sehari 
Positive,Neutral,Neutral,Positive,Mahasiswa UGM Olah Sampah Plastik Jadi Bahan Bakar Minyak 
Positive,Negative,Positive,Negative,Dari sktr 7 milyar ton limbah plastik yg dihasilkan scr global hanya 10% yg telah didaur ulang. Tetapi Indonesia punya pahlawan sampah Made Janur Yasa yg berbagi pengalaman olah sampah plastik di Bali lewat diskusi di @myamericasby  #PlasticBagFreeDay 
Neutral,Neutral,Positive,Positive,Atasi Masalah Sampah Desa Sayan Berencana Olah Sampah Plastik Jadi BBM 
Neutral,Neutral,Neutral,Positive,Perusaan Prajogo Pangestu &amp; Hartono Olah Sampah Plastik Jadi Bahan Aspal 
Neutral,Neutral,Neutral,Positive, Kita olah sampah plastik menjadi jenang krunguku
Positive,Neutral,Neutral,Positive,Riza Farizaha Siswi SMKN 2 Kediri Olah Sampah Plastik Jadi Minyak 
Neutral,Neutral,Positive,Positive,Chandra Asri (TPIA) olah sampah plastik jadi bahan baku aspal untuk jalan di Tegal  #Emiten
Neutral,Neutral,Positive,Positive,Menteri Siti Nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi  
Neutral,Neutral,Positive,Positive,Kreatif Abis Yayasan Rimba Indonesia Olah Sampah Plastik Jadi BBM 
Positive,Neutral,Positive,Positive,Investor Australia Akan Olah Sampah Plastik Kebon Kongok Jadi Solar 
Neutral,Neutral,Positive,Positive,Sinar Mas Land dan Chanda Asri Olah Sampah Plastik Warga BSD City 
Neutral,Neutral,Neutral,Positive,Cara Olah Sampah Plastik Jadi Bahan Komposit Beton [News] #TauCepatTanpaBatas #BeritaTerkini #Kampus #KampusUpdate . 
Positive,Neutral,Positive,Positive,Olah Sampah Plastik Jadi BBM Rencana ke Depan untuk Nelayan  #Daerah #BeritaBaru #BeritaBaruJatim #BeritaJatim #Beritabaruco 
Positive,Positive,Neutral,Positive,padahal besok tuh cuma mau beberes bank sampah malah pada mau ikutan belajar olah sampah plastik wkwk
Neutral,Neutral,Positive,Positive,Menteri LHK Ajak Masyarakat Olah Sampah Plastik Jadi Sumber Daya Ekonomi 
Neutral,Neutral,Positive,Neutral,Tropical Go Green Olah Sampah Plastik 
Neutral,,Neutral,Positive,TPST Asri Olah Sampah Plastik Jadi BBM 
Neutral,Neutral,Neutral,Positive,Ajik Anggi Olah Sampah Plastik Jadi BBM Begini Ceritanya 
Neutral,Neutral,Positive,Positive,Tak Pernah Bosan Olah Sampah Plastik karena Nikmati Prosesnya 
Neutral,Neutral,Positive,Positive,Tim Antasena ITS Sukses Olah Sampah Plastik Jadi Bahan Baku 3D Printing  
Neutral,Neutral,Positive,Positive,Wow! Warga Kalasan Sleman Diajari Cara Olah Sampah Plastik jadi BBM  
Neutral,Neutral,Neutral,Positive,BRIN dan Pemkab Banjarnegara Olah Sampah Plastik Jadi Bahan Bakar PETASOL 
Positive,Neutral,Positive,Positive,BRIN dan Pemkot Semarang Olah Sampah Plastik Jadi Bahan Bakar Petasol Setara Solar  #TempoTekno
Neutral,Neutral,Neutral,Positive,Dusun Dekat Candi Prambanan Yogyakarta Ini Olah Sampah Plastik dengan Cara Tak Biasa  #TempoTravel
Neutral,Neutral,Positive,Positive,Pemerintah ajak masyarakat olah sampah plastik menjadi sumner daya ekonomi. #EkonomiRIMeningkat 
Positive,Neutral,Positive,Positive,Usung Sirkular Ekonomi Kemenperin Dukung Industri Olah Sampah Plastik 
Neutral,Neutral,Neutral,Positive,Kelompok Sadar Wisata di Wonosobo Olah Sampah Plastik Menjadi Bahan Bakar 
Positive,Neutral,Neutral,Positive,SBI dan Pemkab Bantul Kerja Sama Olah Sampah Plastik -  
Positive,Neutral,Positive,Positive,Berhasil Olah Sampah Plastik Jadi BBM Chandra Asri (TPIA) Minta Penerbitan Izin Distribusi Komersial 
Neutral,Neutral,Positive,Positive,KLHK ajak masyarakat olah sampah plastik jadi sumber daya ekonomi. 
Neutral,Neutral,Positive,Positive,Keren! Bank Sampah Ini Olah Limbah Plastik Jadi Bernilai Ekonomi #BacadiBJ #BeritaJakarta #DKIJakarta #BankSampah 
Neutral,Neutral,Positive,Positive,KREATIVITAS WARGA OLAH SAMPAH PLASTIK MENJADI BBM 
Neutral,Neutral,Neutral,Positive,Tukang Sablon Ini Olah Sampah Plastik Jadi BBM 
Neutral,Positive,Positive,Positive,Tropical Go Green Olah Sampah Plastik Jadi Barang Bermanfaat 
Positive,Positive,Neutral,Positive,MNC Peduli dan MNC Sekuritas Ajak Ibu-Ibu PKK Olah Sampah Plastik 
Neutral,Neutral,Positive,Positive,Gandeng DLH Polres Kepulauan Meranti Olah Limbah Sampah Plastik Jadi Batako 
Neutral,Positive,Neutral,Positive,Fenomena ini juga terkait tata kelola sampah Indonesia yang amburadul. Saya ambil Jepang (terutama Kobe) sebagai good waste governance ya. Dimulai dari hulu masyarakat diwajibkan untuk memilah sampah mereka terus dimasukin ke plastik daur ulang sesuai jenis sampah. Buat apa? 
Positive,Neutral,Positive,Positive,Rinso bikin gebrakan di dunia deterjen dg membuat kemasan plastik dr hsl daur ulang dn jadi yg pertama di Indonesia. Teknologi Creasolv ini bikin kemasan tetap kuat &amp; tahan lama meskipun dr daur ulang supaya jadi inspirasi masyarakat supaya lbh aktif upaya pelestarian lingkungan 
Negative,Positive,Negative,Positive,Sampah non B3 memang diperbolehkan untuk diimpor ke Indonesia berdasarkan peraturan. Sampah plastik atau kertas misalnya diimpor untuk keperluan daur ulang - ironisnya kita punya sampah berlimpah TAPI nggak terpilah dengan baik. Negara penyumbang sampah plastiknya? Terbesar 
Positive,Positive,Positive,Positive,ADB mendukung Indonesia dalam mengurangi sampah plastik di lautan dengan PT ALBA Tridi Plastics Recycling Indonesia perusahaan ALBA Group Asia untuk mendirikan fasilitas daur ulang polietilen tereftalat (PET) di Jawa Tengah. 
Positive,Neutral,Positive,Positive,ANEKA KREASI PEMANFAATAN SAMPAH DAUR ULANG PLASTIK. Dengan teknologi yang sederhana kita dapat mengolah material daur ulang plastik menjadi berbagai produk yang menarik. Hal ini sudah dilakukan di banyak tempat di Indonesia.. Yuk sebarluaskan info ini agar lebih banyak orang 
Positive,Neutral,Neutral,Positive,Peduli lingkungan Bank Mandiri menjadi bank pertama di Indonesia yang menerbitkan kartu debit dan kartu prabayar e-money dari bahan plastik PVC daur ulang dan juga kartu kredit virtual tanpa kartu plastik. 
Positive,Positive,Neutral,Positive,Bikin mural pakai tutup botol! Siswa sekolah menengah di Argentina membuat mural raksasa Lionel Messi menggunkan tutup botol plastik daur ulang. ️ #Megabintang #Argentina #SisiLain 
Negative,Negative,Negative,Negative,Loh tapi kan galon sekali pakai bisa didaur ulang? Faktanya gak demikian daur ulang sampah plastik di Indonesia baru menyentuh 12%. Masih sedikit recycle rate. Nih simak penjelasannya 
Positive,Neutral,Positive,Neutral,ExxonMobil sedang mengkaji implementasi teknologi mutakhir daur ulang plastik dalam skala besar di Indonesia. Simak video cara kerja teknologi tersebut.  
Positive,Positive,Positive,Positive,230605 Shu Uemura weibo  Dukung masa depan bersama dgn Shu Uemura global brand spokesperson Wang Yibo ️ Bantu menjaga lingkungan dgn plastik daur ulang ️ Program Daur Ulang botol kosong cleansing oil Shu Uemura sedang berjalan #WangYibo_ShuUemura 
Neutral,Positive,Positive,Positive,Tau gak kalian bagaimana botol PET menjadi botol PET baru? Tonton sampai habis guys ! Indonesia memiliki beberapa pabrik canggih untuk daur ulang PET. Sepeti PT. BIPJ yang juga merupakan Member dari Asosisasi Daur Ulang Plastik Indonesia (ADUPI) Repost: bule_sampah (jg) 
Positive,Positive,Neutral,Positive,Setiap kantor cabang BSI akan disediakan mesin daur ulang sampah plastik yg terintegrasi aplikasi Plasticpay. Cukup dgn menukar plastik scan barcode masyarakat memperoleh poin yg dpt ditukarkan dgn merchandise dari BSI dan Plasticpay Indonesia. #BaliSustainableMovement2023 
Positive,Neutral,Neutral,Positive,Tekan Jejak Karbon Bank Mandiri Terbitkan Kartu Debit dan e-Money Plastik Daur Ulang Pertama di Indonesia 
Positive,Neutral,Positive,Positive,Nestlé luncurkan bangku dengan kerangka terbuat dari 100% daur ulang plastik sachet pasca-konsumsi! Komitmen Nestlé dukung peningkatan angka daur ulang &amp; ekonomi sirkular ️ 
Positive,Neutral,Neutral,Neutral,Sambut kedatangan pengusaha Kolombia di bidang daur ulang plastik Dubes RI Tatang Razak dan Tim Ekonomi paparkan potensi ekonomi dan regulasi investasi di Indonesia. #inidiplomasi #rintiskemajuan 
Positive,Neutral,Positive,Positive,Turut mendukung terciptanya infrastruktur berkelanjutan Chandra Asri berkolaborasi dengan Asosiasi Daur Ulang Plastik Indonesia (ADUPI) Yayasan Bakti Barito dan Dinas PUPR Kabupaten Garut untuk mengonversi sampah plastik low value menjadi high value -c- 
Neutral,Neutral,Positive,Positive,#Zenbook menggunakan material produk ramah lingkungan dengan memasukkan plastik daur ulang pasca-konsumen (PCR) &amp; plastik yang dibuang ke laut ke dalam laptop kami yang bersertifikasi lingkungan. Kami melindungi Bumi &amp; memberikan yang terbaik untukmu! 
Neutral,Negative,Negative,Negative, Penelitian baru menemukan bahwa fasilitas daur ulang plastik masih melepaskan miliaran partikel plastik kecil ke dalam air limbah yang kemudian berkontribusi pada pencemaran saluran air dan membahayakan kesehatan manusia. 
Positive,Positive,Neutral,Positive,Sebagai wujud komitmen mendukung program pemerintah terkait pengelolaan sampah plastik dan ekonomi sirkular Coca-Cola mendirikan fasilitas daur ulang botol plastik PET yang dikelola PT Amandina Bumi Nusantara. Simak di #Insight with @desianwar hari ini di CNN Indonesia. 
Positive,Neutral,Neutral,Neutral,| ADA YANG BARU DARI AQUA | Air mineral bermerk AQUA ini selalu saja berbuat kebaikan untuk masyarakat setempat dan untuk Indonesia. Apalagi untuk warga Palestina yang jauh disana. AQUA saat ini sedang membangun Sumur Resapan sebagai bentuk inovasi dalam daur ulang plastik. 
Positive,Neutral,Neutral,Positive,Unilever Indonesia mendorong penggunaan kemasan daur ulang di setiap produknya. Satu komitmen yg kuat perusahaan terhadap tanggung jawab lingkungan dgn pengurangan penggunaan kemasan plastik. 
Neutral,Neutral,Neutral,Negative,Memasuki masa tenang pemilu 2024 pengelolaan sampah Alat Peraga Kampanye (APK) dibeberapa daerah belum di daur ulang dan berakhir menjadi sampah. Pengkampanye Urban Greenpeace Indonesia Atha Rasyadi mengatakan baliho yang digunakan masih berbahan plastik PVC atau vinyl yang 
Neutral,Neutral,Neutral,Positive,#PemudaAbdya #DaurUlangSampah Begini Cara Dua Pemuda Abdya Daur Ulang Sampah Plastik Jadi Paving Blok  via @tribunnews
Neutral,Neutral,Neutral,Positive,ThinkPad X1 Yoga menggabungkan kinerja unggul dengan keberkelanjutan. Dibuat dengan chassis aluminium daur ulang plastik daur ulang (PCC) untuk bingkai speaker baterai bahkan di dalam adaptor daya. Memperkuat komitmen terhadap lingkungan kemasan laptop ini bebas dari plastik. 
Positive,Positive,Positive,Positive,Takjub! Korsel Daur Ulang Sampah Plastik 943.000 Ton/ Tahun 
Positive,Positive,Neutral,Positive,Inilah salah satu tempat daur ulang botol plastik Lombok PET di kawasan Kuranji Lombok Barat. Salah satu unit bisnis daur ulang atau recycling business unit dampingan @Danone Indonesia yang dikelola oleh UD Lombok PET. #CircularEconomy #bijakberplastik 
Positive,Positive,Positive,Positive,Sejak 2018 Danone-AQUA melalui pendekatan ekonomi sirkular turut andil dalam menyukseskan komitmen pemerintah untuk mengurangi 70% sampah plastik di laut Indonesia pada tahun 2025. Ekonomi sirkular ala AQUA berfokus pada pemanfaatan limbah plastik sebagai bahan daur ulang 
