Unnamed: 0,text,Recyclability_Negative,Recyclability_Neutral,Recyclability_Positive,Recyclability (PET)_Negative,Recyclability (PET)_Neutral,Recyclability (PET)_Positive,Recycling_Negative,Recycling_Neutral,Recycling_Positive,Future_Negative,Future_Neutral,Future_Positive
0,milik bank sampah mata cahari ortu anak kreativitas dewasa olah sampah sejak pandemi busa pustaka bandar lampung milik giat olah sampah plastik anak  kadang jual kadang buat sendiri  penting jadi kreatif,False,False,True,False,True,False,False,False,True,False,False,True
1,kolaborasi aqua h  amp  m olah sampah botol plastik jadi pakai anak - anak,False,False,True,False,False,True,False,False,True,False,False,True
9,anak lpka lombok tengah olah sampah plastik jadi rajin,False,False,True,False,True,False,False,False,True,False,False,True
24,mahasiswa ugm olah sampah plastik jadi bahan bakar minyak,False,False,True,False,True,False,False,True,False,False,False,True
66,bikin mural pakai tutup botol  siswa sekolah tengah argentina buat mural raksasa lionel messi gun tutup botol plastik daur ulang  megabintang argentina sisilain,False,False,True,False,False,True,False,True,False,False,False,True
129,siswa sman palembang tamu undang laku daur ulang limbah plastik jadi sampul buku wadah smartphone dompet ,False,False,True,False,True,False,False,False,True,False,False,True
134,daur ulang indonesia terlalu maju  anak muda buat jam tangan sampah plastik sinar terang usaha startup henti rusa lingkung  sedang proses dukung giat maksimal ,False,False,True,False,True,False,False,False,True,False,False,True
135,buah pustaka multimedia bangun botol plastik daur ulang orang arsitek afrika resmi selasa  kokrobite sedia akses bagai sumber ajar siswa - siswa sekolah keluarga miskin,False,False,True,False,False,True,False,True,False,False,True,False
137,perlu laku usaha amdk  komitmen usaha tanggulang sampah plastik indonesia target kampanye nasional didik daur ulang jangkau juta konsumen juta anak - anak ,False,False,True,False,True,False,False,True,False,False,False,True
150,inovatif mahasiswa its bikin alat daur ulang limbah plastik jadi bbm sumber   media kolaborasi indonesia  its limbahplastik daurulang bbm beritapendidikan surabayanews itsnews jatimnews ketikmedia beritaterkini,False,False,True,False,True,False,False,False,True,False,False,True
169,anak artis amerika serikat zooey deschanel viral kirim surat startup daur ulang indonesia request plastik rasa cokelat ,False,True,False,False,True,False,False,True,False,False,False,True
183,keren mahasiswa ugm hasil olah sampah plastik jadi minyak,False,False,True,False,True,False,False,False,True,False,False,True
205,mimpi punya rumah baca pancoran terus tinggal kalibata city  rame banget anak - anak ajar olah sampah plastik  sayang mesti bangun  dah ngopi dulu baru lanjut tidur,False,False,True,False,True,False,False,True,False,False,False,True
217,siswa smpn batam olah sampah plastik jadi kursi ecobrick kreatif batam,False,False,True,False,True,False,False,False,True,False,False,True
230,mahasiswa universitas muhammadiyah malang olah sampah plastik jadi bahan baku furniture simak  - tribun jatim,False,False,True,False,True,False,False,False,True,False,False,True
235,tuntut terampil anak didik lpka lombok tengah olah sampah plastik jadi rajin nila jual berita lengkap ,False,False,True,False,True,False,False,False,True,False,False,True
242,peduli lingkung lpdp latih anak olah sampah plastik jadi barang nila,False,False,True,False,True,False,False,True,False,False,True,False
266,awal yg bagus ikut dg perda kurang pakai plastik sekali pakai improvement tangan sampah edukasi masyarakat yg ter terus,False,False,True,True,False,False,False,True,False,True,False,False
274,plogging sendiri kasih edukasi soal sampah plastik ganti tahun surabaya banyak yg mau peduli start small gpp semua peduli waktu kemarin teman yg nemu sampah hepi banget,False,False,True,False,True,False,False,False,True,False,True,False
276,anak sekolah tugas bikin ecobrick botol minta liter  bukan ecobrick konsep manfaat botol bekas  kalau beli botol baru buat isi sampah plastik bukan recycle dong nama,False,False,True,False,False,True,True,False,False,False,False,True
315,berapa lama sampah plastik urai alam buku baca anak milik tema lingkung hidup ikut workshop karya daur ulang sampah plastik teladan perilaku hari,False,False,True,False,True,False,False,False,True,False,False,True
322,unilever indonesia ajak masyarakat libat aktif kelola sampah plastik lalu edukasi ekonomi sirkuler sampah plastik rumah tangga,False,False,True,False,True,False,False,False,True,False,False,True
326,kerenn  bangun sekolah sampah plastik  solusi atas  banjir sampah  indonesia manfaat yg,False,False,True,False,True,False,False,False,True,False,False,True
