,Unnamed: 0,Unnamed: 1,annotation_id,annotator,created_at,id,lead_time,sentimenteffective,sentimentpet,sentimentprocess,sentimentrecycle,text,updated_at
0,3.0,,608,1,2025-04-19T13:56:14.097153Z,1084,156.989,Neutral,Neutral,Positive,Positive,"Dosen STTI Bontang Sukses Daur Ulang Limbah Plastik Menjadi Bahan Bakar Minyak

Ketika orang lain melihat sampah sebagai sesuatu yang tidak lagi memiliki nilai ekonomi.

Sekolah Tinggi Teknologi Industri (STTI) Bontang justru melihat sebaliknya. Sampah ketika dikelola secara baik dan benar, maka dapat memberikan nilai ekonomi bagi masyarakat.

Kampus yang berada di bawah atap Yayasan Pendidikan Islam (Yabis) Bontang itu, sukses mengubah limbah sampah plastik menjadi bahan bakar minyak (BBM). Hasil inovasi mereka bahkan sudah diusulkan pada lomba yang diadakan Pemerintah Kota (Pemkot) Bontang pada Oktober mendatang.

Ahmad Yani, Irhamni Nuhardin, Fitria, Ratnawati, dan Irianto, adalah empat nama di balik inovasi tersebut. Hanya bermodalkan kompor gas, tabung freon, selang, dan tabung biskuit, keempat dosen STTI Bontang itu sukses menghasilkan BBM dari limbah sampah plastik.

Irhamni Nuhardin mengatakan, hasil penelitian pengolahan limbah sampah plastik menjadi BBM telah diikutkan pada Lomba Inovasi, Penelitian dan Teknologi Tepat Guna (SI PEENA) Kota Bontang. Pada lomba tahun ini, Pemkot Bontang mengusung inovasi tema pengembangan teknologi berwawasan lingkungan.

Tiga hasil penelitian lain yang diajukan STTI Bontang yakni desalinasi air laut menggunakan energi matahari sebagai sumber air tawar masyarakat kepulauan Kota Bontang, pemanfaatan limbah organik untuk produksi bahan bakar gas dengan penambahan effective microorgabism-4, dan rancang bangun sistem distilasi air laut menggunakan energi surya dengan metode desalinasi single stage flash.

“Semua usulan hasil penelitian itu sudah masuk SI PEENA. Dan semuanya berwawasan lingkungan,” ungkap perempuan berkerundung tersebut.

Pengembangan teknologi berwawasan lingkungan merujuk Peraturan Wali Kota (Perwali) Bontang nomor 30 tahun 2018 tentang Pengurangan Penggunaan Produk Plastik Sekali Pakai.

Melalui pengembangan teknologi itu, diharapkan volume sampah di Bontang dapat ditekan setiap tahunnya.

“Kami ingin mengelola sampah agar memiliki nilai ekonomi di masyarakat,” ucapnya.
Untuk diketahui, volume sampah di Kota Bontang setiap tahunnya terbilang cukup tinggi.

Dalam sehari saja, jumlah sampah yang dihasilkan masyarakat mencapai 90 ton. “Sekitar 20 ton di antaranya adalah sampah plastik,” terangnya.

Selama ini, sampah plastik di Bontang hanya dicacah dan dikirim ke Pulau Jawa. Padahal jika dikelola secara baik dan benar, sampah-sampah itu dapat dimanfaatkan sehingga memberikan nilai ekonomi yang cukup tinggi.

“Dari situ lah kami mencoba mengolah sendiri limbah sampah plastik di Kota Bontang,” katanya.

Dosen dan tim penelitian STTI Bontang Ahmad Yani menuturkan, sampai sejauh ini, hanya ada pengolahan limbah untuk gas metan di Bontang,Kata dia, jika limbah sampah plastik di Kota Taman –sebutan Bontang- dikelola sendiri dengan pengembangan teknologi, maka sampah dapat memberikan nilai ekonomi.

“Saat ini, harga bahan bakar minyak jenis premium dijual sekitar Rp 7 ribu per liternya. Kalau limbah sampah plastik kita kelola sendiri, maka harganya bisa kita tekan,” katanya.

Di sisi lain, masyarakat tidak perlu khawatir lagi menggunakan plastik. Sebab, limbah sampah itu sudah dapat dikelola menjadi BBM. Apalagi BBM yang dihasilkan bukan hanya premium, tetapi juga bisa berupa solar dan pertalite. “Selama ini kami hanya keterbatasan alat saja,” ujarnya.

Untuk mengolah sampah menjadi BBM, baik Irhamni, Ahmad Yani, dan ketiga rekannya, hanya memanfaatkan barang bekas yang dibeli di tempat loakan seperti tabung freon, kaleng biskuit, dan selang besi.

“Semua bahan itu kami beli sekitar Rp 350 ribu. Hasil uji coba yang kami lakukan, bahan bakar minyak yang dihasilkan ternyata bisa dipakai buat motor,” katanya.

Ahmad Yani berkeyakinan, jika alat pengolahan sampah dapat dimodifikasi lagi sedemikian mungkin, maka masyarakat Bontang dapat memanfaatnya secara baik dan aman. Sekarang tinggal bagaimana dukungan pendanaan dari stakeholder terkait.

“Apabila alat yang sederhana ini ada di setiap kelurahan dan RT, maka akan ada banyak sampah yang bisa dikurangi,” ucapnya.

Satu Kilogram Sampah Menghasilkan 350 Mililiter BBM
Pemanfaatan teknologi yang dibuat Irhamni dan kawan-kawannya terbilang cukup sederhana. Limbah sampah plastik yang telah dicacah dimasukkan ke tabung freon yang dipanaskan di atas kompor gas.

Hasil pembakaran kemudian dialirkan melalui sebuah selang besi yang didinginkan di dalam kaleng biskuit. Setelah itu, minyak dari olahan itu ditampung menggunakan toples.

Ahmad Yani menerangkan, idealnya untuk pengolahan sampah plastik satu kilogram dapat menghasilkan BBM satu liter. Namun karena masih terbatasnya alat, maka satu kilogram sampah baru mampu menghasilkan 350 mililiter BBM.

“Saat pengujiannya, masih perlu dilakukan penyempurnaan. Nantinya, sisa hasil pembakaran dapat dimanfaatkan untuk paping blok,” katanya.

Irhamni menceritakan, pengolahan limbah sampah sudah pernah dia pelajari saat mendalami ilmu teknik kimia, khususnya tentang konversi energi. Kata dia, pada prinsipnya, energi dapat berubah dari satu bentuk ke bentuk lainnya, tetapi energi tidak dapat dimusnahkan (dihancurkan).

“Sampah plastik itu dibuat dari bahan minyak. Sekarang bagaimana mengembalikannya ke pengolahan minyak lagi,” katanya",2025-04-19T13:56:14.097153Z
1,5.0,,409,1,2025-04-16T04:21:02.658581Z,1086,9.103,Neutral,Positive,Positive,Positive,"Daur Ulang Kreatif: Cara Memanfaatkan Botol Bekas Menjadi Barang Bernilai Guna

Botol plastik bekas sering kali menjadi limbah yang mencemari lingkungan. Padahal, dengan sedikit kreativitas, botol bekas bisa diubah menjadi barang yang lebih bermanfaat, seperti pot tanaman, tempat penyimpanan, atau bahkan kerajinan dekoratif. Artikel ini akan membahas cara-cara memanfaatkan botol bekas dengan mudah serta langkah-langkah pembuatannya.

Tahapan Memanfaatkan Botol Bekas

1. Menentukan Ide Pemanfaatan

Sebelum mulai, tentukan fungsi baru dari botol bekas. Beberapa ide kreatif meliputi:

Pot tanaman vertikal

Tempat penyimpanan alat tulis

Wadah sabun cair

Lampu hias dari botol plastik

2. Mengumpulkan Alat dan Bahan

Persiapkan botol bekas yang akan digunakan serta alat pendukung seperti:

Gunting atau cutter

Lem tembak

Cat atau spidol untuk dekorasi

Tali, kain, atau bahan tambahan lainnya

3. Membersihkan dan Menyiapkan Botol

Cuci botol dengan sabun untuk menghilangkan sisa isi dan bau. Keringkan sebelum digunakan agar lebih mudah diolah.

4. Memotong dan Membentuk Sesuai Kebutuhan

Gunakan gunting atau cutter untuk memotong botol sesuai desain yang diinginkan. Hati-hati saat memotong agar hasilnya rapi dan tidak melukai tangan.

5. Menghias dan Menyempurnakan Bentuk

Tambahkan warna, gambar, atau elemen dekoratif agar hasilnya lebih menarik. Jika digunakan sebagai pot tanaman, buat lubang kecil di bagian bawah untuk drainase air.

6. Menggunakan dan Merawat Hasil Daur Ulang

Setelah selesai, gunakan hasil kreasi sesuai fungsinya. Jika membuat pot tanaman, pastikan tanaman mendapatkan perawatan yang baik agar tumbuh subur.

Dengan kreativitas, botol bekas tidak hanya menjadi sampah tetapi bisa berubah menjadi barang yang bermanfaat dan estetis. Selain membantu mengurangi limbah plastik, ini juga bisa menjadi peluang usaha bagi yang ingin mencoba bisnis daur ulang.
#CARA
#tips
#ideas",2025-04-16T04:21:02.658581Z
2,6.0,,410,1,2025-04-16T04:21:20.527955Z,1087,64.409,Neutral,Positive,Positive,Positive,"Manfaatkan bahan limbah plastik galon air minum dg cara daur ulang di ubah mnjadi aquarium yg estetik.
#videoreels #motivasi #daurulanglimbahplastik
#jangkauanluassemuaorang",2025-04-16T04:22:12.732354Z
3,8.0,,411,1,2025-04-16T04:22:46.149499Z,1089,32.009,Positive,Neutral,Positive,Positive,"#hallosobatliterasi 

Pembuatan pajangan boneka dari plastik. 
Berkreatifitas dengan daur ulang limbah plastik yang di mana plastik itu sendiri adalah sampah yang membutuhkan waktu sangat  lama untuk terurai,

Sampah plastik, meskipun sudah disebut sampah dalam hal seni kreatif dapat digunakan pemanfaatannya. Salah satu bentuk memanfaatkan sampah tersebut kita mengenal daur ulang (recycle). Kegiatan mendaur ulang sampah merupakan tindakan positif atas bentuk kepedulian terhadap lingkungan

#salamliterasi 
#literasiuntukkesejateraan 
#berkreatifitas 
#daurulanglimbahplastik 
#perpusnas 
#perpustakaandesa 
#perpustakaankiematubu_afaafa",2025-04-16T04:22:46.149499Z
4,9.0,,412,1,2025-04-16T04:30:00.688379Z,1090,424.894,Neutral,Neutral,Positive,Positive,Dari limbah menjadi mekar! Ide daur ulang plastik cerdas untuk taman Anda!,2025-04-16T04:30:00.688379Z
5,10.0,,413,1,2025-04-16T04:30:10.849391Z,1091,8.68,Positive,Neutral,Positive,Positive,"LIMBAH PLASTIK DIBUAT JADI ACTION FIGURE API UNGGUN TERAKHIR

Mau dikemanain limbah plastik yang berlimpah? salahsatu ide yang muncul adalah membuat project mainan daur ulang dengan superhero Indonesia. Nah, buat saya, superhero Indonesia itu adalah anak pramuka yang dengan ikhlas menyumbangkan jiwa raganya untuk menjaga keutuhan bangsa dan negara dengan nilai trisatya dan dasa darma dalam prilaku kehidupannya sehari-hari. 

Kira Larasati adalah salah satu dari tokoh dalam novel Benteng Api Unggun Terakhir dan Sang Saka yang siap menjadi pilot project daur ulang limbah plastik sebagai action figure pramuka zaman now. 

character 3d-nya sudah jadi, tinggal berikutnya bagaimana caranya di perbanyak dan dibagikan gratis sebagai contoh produk daur ulang limbah plastik.  

#workinprogress #daurulanglimbahplastik #merchandising #sayapilihbumi",2025-04-16T04:30:10.849391Z
6,17.0,,414,1,2025-04-16T04:30:32.316602Z,1098,12.767,Positive,Neutral,Positive,Positive,Badan Riset dan Inovasi Nasional atau BRIN telah mengembangkan teknologi radiasi nuklir untuk mengolah daur ulang limbah plastik menjadi bahan komposit plastik kayu. #Humaniora #AdadiKompas,2025-04-16T04:30:32.316602Z
7,18.0,,415,1,2025-04-16T04:30:40.768400Z,1099,7.789,Positive,Positive,Positive,Positive,"USAHA DAUR ULANG PLASTIK

Botol plastik rongsokan menjadi sapu plastik, masya Allah. Ini termasuk cara untuk memanfaatkan limbah plastik. Jenis plastik yang digunakan adalah botol plastik air mineral, kalau kelasnya masuk jenis PET (Polyethylene terephthalate).

Yang jadi juragan usaha sapu plastik ini adalah Mas Danang, yang Kamis lalu baru saja masuk Islam, dengan pengikraran di Pesantren Darush Sholihin. 

Nantikan video usaha Mas Danang ini di Channel Rumaysho TV. Moga segera tayang Insya-Allah.

—-

Karangtengah, Wonosari, Gunungkidul
17 Muharram 1442 H",2025-04-16T04:30:40.768400Z
8,19.0,,416,1,2025-04-16T04:33:05.701035Z,1100,18.154,Positive,Negative,Positive,Positive,"SMA Pangudi Luhur Jakarta kini menggunakan meja dan kursi belajar yang terbuat dari 950 kg limbah plastik daur ulang!
.
Inisiatif ramah lingkungan ini merupakan hasil kolaborasi @wastgood, @cundraset, dan @basjundesign, yang berhasil mengubah sampah plastik menjadi 71 set meja dan kursi untuk ruang kelas. Langkah inovatif ini tidak hanya membantu mengurangi limbah, tetapi juga memberikan solusi berkelanjutan bagi dunia pendidikan.
.
Source by wastgood
.
Space to grow into an Architect & Designer

. 
#arsitekturpedia #duniaarsitektur #arsitektur #arsitek #arsitekjakarta #arsitekindonesia #infoarstek #infosayembara #infodunia #tokoharsitek",2025-04-16T04:33:05.701035Z
9,21.0,,417,1,2025-04-16T04:34:25.247716Z,1102,76.093,Positive,Neutral,Positive,Positive,"Inovasi ramah lingkungan hadir di NTB. Sebuah sekolah dasar di Lombok Barat, SDN 04 Medas, menjadi bangunan pertama di dunia yang dibangun menggunakan bata dari limbah plastik daur ulang (ecobrick). 

#viral #fyp #facebookviral #fakta #kreatif #kisahinspiratif #ntb",2025-04-16T04:34:25.248718Z
