annotation_id,annotator,created_at,date_created,id,lead_time,sentimenteffective,sentimentpet,sentimentprocess,sentimentrecycle,tweet,updated_at
2.0,1.0,2025-04-01T09:08:48.204282Z,Wed Jan 15 19:48:36 +0000 2025,1,1694.532,Negative,Neutral,Positive,Neutral,Soal Timor Leste daur ulang seluruh sampah plastik itu baru (cuma) gelar lho ya yg rame saat rilis rencana pabrik daur ulang plastik di 2019. Riilnya sampe skrg belom jelas. Yg terbaik kelola sampah di ASEAN itu justru Banyumas. Tp Banyumas itu kan bukan negara sendiri. https://t.co/IlffnYvBid,2025-04-01T09:14:44.205102Z
,,,,,,,,,,Kemarin: peluncuran produk kolaborasi @jenahara x Daur Baur Micro Factory-nya @REBELLIONIK di Kopi Nako Daur Baur Kemang Jakarta Selatan. Menggunakan kancing dari hasil daur ulang plastik. Kece. https://t.co/qiVysTPPc6,
3.0,1.0,2025-04-01T09:09:14.571742Z,Tue Oct 29 12:43:19 +0000 2024,2,39.982,Neutral,Positive,Positive,Positive,Halo Sahabat yuk tonton video berikut ini untuk melihat komitmen Danone-AQUA yang secara pro-aktif terlibat dalam pengelolaan sampah plastik di Indonesia. Danone-AQUA berinisiatif melakukan pengumpulan dan daur ulang botol plastik melalui unit bisnis daur ulang (Recycling https://t.co/BN9QBZ1cDI,2025-04-01T09:15:01.194254Z
4.0,1.0,2025-04-01T09:09:48.698140Z,Fri Feb 21 04:35:24 +0000 2025,3,41.516,Neutral,Neutral,Positive,Positive,APA ITU 3D PRINTING HOUSE? 3D printing house adalah proses pembuatan rumah menggunakan printer 3D yang dapat mencetak struktur bangunan lapis demi lapis dengan material khusus seperti beton plastik daur ulang atau campuran lainnya. Teknologi ini memungkinkan pembangunan rumah https://t.co/H2wg5jKFP4,2025-04-01T09:15:14.775610Z
5.0,1.0,2025-04-01T09:12:53.179128Z,Thu Jan 23 10:54:33 +0000 2025,4,190.021,Positive,Neutral,Neutral,Positive,2025 saatnya sutainable kalcer. Pakai produk yang bukan cuma gaya dan fungsional tetapi juga mendukung gerakan keberlanjutan melalui daur ulang sampah plastik. WAVEIT - URBAN ICON dengan visi menciptakan lautan yang bebasplastik dan kaya keaneka ragaman hayati mengubah siklus https://t.co/6bFjm2CsuT,2025-04-01T09:16:00.284036Z
6.0,1.0,2025-04-01T09:13:12.841401Z,Tue Dec 31 03:15:37 +0000 2024,5,19.264,Neutral,Neutral,Positive,Positive,CSR Unilever Indonesia 2024 fokus pada tiga pilar utama: Kesehatan Pendidikan dan Lingkungan Hidup. Dari program edukasi gizi Unilever menjangkau lebih dari 1 juta anak Indonesia Pelatihan keterampilan bagi 10.000 perempuan pelaku UMKM Kampanye daur ulang kemasan plastik https://t.co/5s5LkuZVE9,2025-04-01T09:13:12.841401Z
7.0,1.0,2025-04-01T09:17:32.504934Z,Tue Feb 25 01:59:34 +0000 2025,6,66.984,Positive,Neutral,Positive,Positive,Hi frens aku lagi bikin kuesioner survei untuk calon konsumen nih survei ini buat produk furniture dari plastik daur ulang. Aku butuh pendapat kalian supaya produknya bisa lebih sesuai dengan kebutuhan dan selera pasar. Kalau berkenan blh banget bantu isi. Terima kasih banyak! https://t.co/cxj9zH2N6L,2025-04-01T09:17:32.504934Z
8.0,1.0,2025-04-01T09:19:14.555835Z,Fri Nov 01 07:18:24 +0000 2024,7,99.766,Neutral,Neutral,Negative,Negative,Di USA penggunaan PBDE ini sudah dilarang tetapi senyawa ini masih banyak ditemukan di pasaran. Alasannya? Karena masih banyak plastik bekas yg beredar dan proses daur ulang plastik umumnya ga diregulasi dengan ketat. Saya cukup yakin di Indonesia pun masih banyak!! https://t.co/pT94h3QDDf,2025-04-01T09:19:14.555835Z
9.0,1.0,2025-04-01T09:21:14.523823Z,Sun Mar 30 07:44:04 +0000 2025,8,117.388,Neutral,Neutral,Positive,Positive,PRAKTIK BAIK Dari Tumpukan Sampah Menjadi Atap Rumah: Kisah Inspiratif Daur Ulang Sampah Plastik di Manado https://t.co/DxMQbxueaP,2025-04-01T09:21:14.523823Z
10.0,1.0,2025-04-01T09:22:03.957521Z,Tue Mar 11 05:54:06 +0000 2025,9,43.808,Negative,Neutral,Negative,Negative,Pakainya beberapa saat namun efeknya berjangka panjang hal yang perlu kita ingat : - hanya 1% sampah textile yang di daur ulang di dunia - hanya 9% sampah plastik yang di daur ulang di dunia. Jadi sisa sampah yang tak dikelola bisa terlihat. Repost: bule_sampah (ig) https://t.co/bXrGubDKW3,2025-04-01T09:22:03.957521Z
