Unnamed: 0,text,Recyclability_Negative,Recyclability_Neutral,Recyclability_Positive,Recyclability (PET)_Negative,Recyclability (PET)_Neutral,Recyclability (PET)_Positive,Recycling_Negative,Recycling_Neutral,Recycling_Positive,Future_Negative,Future_Neutral,Future_Positive
0,milik bank sampah mata cahari ortu anak kreativitas dewasa olah sampah sejak pandemi busa pustaka bandar lampung milik giat olah sampah plastik anak  kadang jual kadang buat sendiri  penting jadi kreatif,False,False,True,False,True,False,False,False,True,False,False,True
22,menteri siti nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
31,menteri siti nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
38,menteri lhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
48,perintah ajak masyarakat olah sampah plastik jadi sumner daya ekonomi  ekonomirimeningkat,False,True,False,False,True,False,False,False,True,False,False,True
53,klhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi ,False,True,False,False,True,False,False,False,True,False,False,True
55,kreativitas warga olah sampah plastik jadi bbm,False,True,False,False,True,False,False,False,True,False,False,True
60,fenomena kait tata kelola sampah indonesia amburadul  ambil jepang  utama kobe  good waste governance  mulai hulu masyarakat wajib mem sampah terus dimasukin plastik daur ulang sesuai jenis sampah  buat apa ,False,True,False,False,False,True,False,True,False,False,False,True
61,rinso bikin gebrak dunia deterjen dg buat kemas plastik dr hsl daur ulang dn jadi yg pertama indonesia  teknologi creasolv bikin kemas tetap kuat  amp  tahan lama meski dr daur ulang jadi inspirasi masyarakat lbh aktif upaya lestari lingkung,False,False,True,False,True,False,False,False,True,False,False,True
71,kantor cabang bsi sedia mesin daur ulang sampah plastik yg integrasi aplikasi plasticpay  cukup dgn tukar plastik scan barcode masyarakat poin yg dpt tukar dgn merchandise bsi plasticpay indonesia  balisustainablemovement,False,False,True,False,False,True,False,True,False,False,False,True
79, baru aqua  air mineral bermerk aqua selalu buat baik masyarakat tempat indonesia  warga palestina jauh sana  aqua sedang bangun sumur resap bentuk inovasi daur ulang plastik ,False,False,True,False,True,False,False,True,False,False,True,False
94,kantor cabang bsi  y akn disediakn mesin daur ulang sampah plastik yg tlah integrasi dgn aplikasi plasticpay cukup dgn tukar plastik scan barcode masyarakat memproleh poin yg dpt tukar dgn merchandise dr bsi  amp  plasticpay indonesia balisustainablemovement,False,False,True,False,True,False,False,True,False,False,True,False
98,ingat mandat olah sampah plastik kelola perintah provinsi gera daur ulang butuh peran masyarakat ,True,False,False,True,False,False,False,True,False,True,False,False
201,klhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
226,klhk ajak masyarakat olah sampah plastik jadi sumber daya ekonomi,False,True,False,False,True,False,False,False,True,False,False,True
228,bupati banyumas ajak masyarakat olah sampah plastik jadi paving,False,False,True,False,True,False,False,False,True,False,False,True
266,awal yg bagus ikut dg perda kurang pakai plastik sekali pakai improvement tangan sampah edukasi masyarakat yg ter terus,False,False,True,True,False,False,False,True,False,True,False,False
278,hilir memang betul  contoh jangan daun teh tweet misal batubara jadi dme sampah plastik jadi listrik teknologi yg mungkin terap indonesia  amp  angkat sosial ekonomi masyarakat ,False,False,True,False,True,False,False,False,True,False,False,True
322,unilever indonesia ajak masyarakat libat aktif kelola sampah plastik lalu edukasi ekonomi sirkuler sampah plastik rumah tangga,False,False,True,False,True,False,False,False,True,False,False,True
345,lewat tangan kreatif limbah sulit hancur sulap jadi potret karya seni nila tinggi  bentuk peduli lewat kreativitas ubah sampah jadi pesan jadi seni solusi  temu wajah plastik pasar gotong royong aplikasi,False,True,False,False,True,False,False,False,True,False,False,True
349,harga sampah plastik kumpul jadi salah satu pilih solusi dorong minat masyarakat pilah - pilih sampah plastik ,False,False,True,False,True,False,False,True,False,False,False,True
362,mesin tukar botol plastik elnusa solusi modern sampah plastik tuai antusiasme masyarakat,False,False,True,False,False,True,False,True,False,False,False,True
367,program recycle me hadir upaya tingkat peduli sadar masyarakat daur ulang sampah  program hadir mudah masyarakat daur botol plastik pet bekas pakai  infotempo,False,True,False,False,False,True,False,True,False,False,False,True
371,program recycle me hadir upaya tingkat peduli sadar masyarakat daur ulang sampah  program hadir mudah masyarakat daur botol plastik pet bekas pakai infotempo,False,False,True,False,False,True,False,True,False,False,False,True
389,plastik bahan pet ramah lingkung mudah daur ulang  bahkan hasil riset swi daur ulang plastik pet kontribusi besar bg ekonomi masyarakat khusus kepul sampah  jadi kepul sampah plastik pet ibarat  emas  yg sangat laku jual ,False,True,False,False,False,True,False,True,False,False,False,True
