Unnamed: 0,text,Recyclability_Negative,Recyclability_Neutral,Recyclability_Positive,Recyclability (PET)_Negative,Recyclability (PET)_Neutral,Recyclability (PET)_Positive,Recycling_Negative,Recycling_Neutral,Recycling_Positive,Future_Negative,Future_Neutral,Future_Positive
1068,luar biasa sekali  bsi memang fokus untung peduli lingkung  kurang emisi karbon daur ulang limbah plastik signifikan patut acung jempol  terus inisiatif hijau  kinerjabsiqmoncer,False,False,True,False,True,False,False,False,True,False,True,False
1680,daur ulang kantong plastik kresek  daur ulang botol plastik mesin daur ulang kantong plastik kresek botol plastik teknologi rancang olah sampah plastik jadi bahan baku  mesin kerja cara hancur  cuci  cair plastik pakai  baik kantong plastik kresek maupun botol plastik  jadi pellet material plastik siap proses produksi  proses daur ulang kurang jumlah sampah plastik cari lingkung  kurang butuh bahan baku plastik baru  dampak positif hemat sumber daya alam  unggul mesin daur ulang plastik letak mampu olah bagai jenis plastik efisiensi tinggi  ubah jadi produk manfaat  mesin sering industri daur ulang dukung lestari lingkung  kurang polusi plastik  hasil bahan baku manfaat bagai sektor industri  mulai buat produk plastik baru hingga barang - barang komposit  teknologi makin kembang  mesin lengkap sistem pisah otomatis proses bagai jenis plastik pisah  tingkat kualitas hasil daur ulang  daurulangplastik recyclingplastic kantongplastikkresek daurulangbotolplastik lingkunganbersih plastikdaurulang inovasidaurulang hematsumberdaya jagabumi ecofriendly,False,True,False,False,False,True,False,False,True,False,False,True
1061,kurang kalah penting olah nya   repost from balroom  repost media app   tahu  plastik benar - benar daur ulang  daur ulang dasar,False,False,True,False,True,False,True,False,False,False,True,False
763,suhartanto hati jebak false solution global plastik daur ulang  negara maju ndak  nya upaya daur ulang sampah plastik kumpul  lanjur atas baik cegah awal ,True,False,False,True,False,False,True,False,False,True,False,False
213,gaet usaha asal inggris pemkot bogor olah sampah plastik galuga,False,True,False,False,True,False,False,True,False,False,False,True
172,coba kalau gin apa gak malu  bukan prestasi yg dunia malah sampah yg dunia  pabrik daur ulang sampah hrus galak ekonomi sirkular jg makin tumbuh  sampah plastik indonesia temu dampar hingga afrika,False,True,False,True,False,False,False,True,False,True,False,False
623,capek liat tri habis akal  semua pajak  sekarang hrus balik pajak trsebut kurang sampah dgn daur ulang dgn pajak bangun pabrik daur ulang klo enggak ngapain kena cukai lebih  ppn per produk kurang ,True,False,False,False,True,False,True,False,False,False,True,False
433,pulau lombok ntb sampah upa botol plastik kumpul daur ulang lombok pet jadi bahan baku buat kemas baru air minum  nusantara adadikompas,False,True,False,False,False,True,False,True,False,False,False,True
1657,opini  dana tata kelola sampah plastik sangat penting dukung finansial  upaya kelola kurang polusi plastik sulit laku efektif  ikut beberapa alas dana krusial   infrastruktur kelola sampah banyak negara  utama negara kembang  kurang infrastruktur kelola sampah  sistem daur ulang efisien  fasilitas pemrosesan limbah  tempat buang ramah lingkung  dana bantu bangun tingkat sistem   dukung ekonomi sirkular kurang gantung plastik sekali pakai  perlu investasi model ekonomi sirkular  sistem isi ulang ulang   investasi sektor rendah  dana tambah sangat perlu cepat alih solusi lebih lanjut   kurang beban lingkung sehat sampah plastik kelola baik cari lingkung  rusak ekosistem  bahkan dampak sehat manusia  dana cukup  perintah organisasi kurang dampak negatif lalu program bersih  kampanye edukasi  inovasi teknologi ramah lingkung   dorong tanggung jawab produsen dana peran terap bijak extended producer responsibility  epr  mana produsen plastik wajib dana kelola limbah produk  biaya tangan limbah tanggung perintah masyarakat   riset inovasi teknologi kembang teknologi baru daur ulang lebih efisien bahan alternatif ramah lingkung perlu investasi besar  dana  riset inovasi kelola sampah plastik kembang lebih cepat  jadi  dana cukup  solusi sulit terap luas  krisis polusi plastik makin buruk ,True,False,False,False,True,False,True,False,False,False,True,False
786,surabaya duitin  hiks  padahal oke banget buat kelola sampah plastik yg bs daur ulang ,False,True,False,False,False,True,True,False,False,False,False,True
1382,lombokpost - paving block hasil olah sampah plastik tempat olah sampah padu  tpst  sandubaya jual buka masyarakat  kini pemkot mataram mulai kaji atur  produk sebut jual masyarakat umum   hasil pad  asli daerah  depan  kata kabid sampah dinas lingkung hidup  dlh  kota mataram vidi partisan gamanjaya  lombokpost,False,True,False,False,True,False,False,True,False,False,False,True
1181,backhand index pointing rightmasya allah  tabarakallah hasil karya daur ulang sampah plastik siswa kelas b kusmiling face with hearts hasil karya siswi perempuanthumbs upface blowing a kiss bungkus makan ringan  bungkus mie instant  - terimakasih anak hebat ibu gurusmiling face with heartsthumbs up p hasilkaryasiswakelasb daurulangsampahplastik kolasebajubatik,False,False,True,False,True,False,False,False,True,False,False,True
866,kandung bagai bahan kimia racun larut bahaya sehat  jenis plastik jarang terima program daur ulang ,False,True,False,False,True,False,True,False,False,True,False,False
804,populer news sirkulasi daur ulang plastik maksimal via,False,True,False,True,False,False,False,True,False,True,False,False
1348,angin milir bawa aroma kompos bilik - bilik olah sampah makan rumah jatinegara baru  jakarta timur   aroma tape   aroma  asam enak  aroma manis  bukan bau busuk  kata shanty syahril  koordinator koperasi kompos rumah   kalau kelola benar  sampah dapur nyata enggak bau busuk  laku fermentasi  imbuh  shanty mulai inisiatif kompos garasi rumah  hidup lambat pandemi  aku banyak orang mulai rajin kebun  masuk diri  mulai olah sampah makan rumah sendiri  lama - lama  aktivitas laku sama - sama  rumah sedia gabung  ujar shanty  kata komunitas kembang cepat  - garasi rumah tak cukup olah banyak sampah makan   pihak rw tempat izin shanty ibu gabung koperasi kompos bidang tanah kini jadi  taman kompos  jauh kumuh  taman tengah - tengah rumah tampak bersih rapi   rumah kompleks rumah  rumah kontribusi  pek  kg sampah makan kumpul kerja koperasi kompos  mem sampah dapur jadi biasa anggap  ribet  sini  safron  misal  punya tiga buah tempat sampah dapur  satu tong sampah organik kulit buah sisa sayur  satu tong sampah plastik  satu tong sampah kertas   tanam anggota keluarga rumah  kalau buang  pindah sampah  kalau pilah  sampah organik jadi kompos  sampah anorganik terima pulung  beber  sampah organik warga kemudian campur bilik - bilik tempat  masak  sampah makan jadi kompos  termometer  shanty tunjuk suhu sampah proses tunjuk - derajat celcius   arti  proses kompos sedang langsung  kata shanty  kompos hasil kemudian pupuk warga  kecil jual rw tempat pupuk taman - taman komunal rumah  shanty aku  jual pupuk kompos tak berapa  dana operasional koperasi kompos asal kocek pribadi shanty donatur   uang memang bukan tuju utama diri bentuk inisiatif   kalau kurang sampah  kelola sampah makan  lama  naik daun  daur ulang bahan - bahan anorganik  sampah makan pandang belah mata  ujar  padahal   lebih mudah cegah pakai sampah anorganik plastik   hidup makan  sumber  bbc news indonesia,False,True,False,True,False,False,False,False,True,True,False,False
1055,oecd catat juta ton plastik tahun lalu  jumlah sampah plastik terus tingkat tahun kurang plastik  sampah plastik hasil daur ulang seluruh dunia indonesia semangatsalingbantu,True,False,False,True,False,False,False,True,False,True,False,False
198,kota bogor siap olah sampah plastik,False,True,False,False,True,False,False,False,True,False,False,True
1014, emridwan tanya plastik daur ulang apa  daur ulang akhir kali,True,False,False,True,False,False,True,False,False,True,False,False
1620,cari plastik daur ulang yg potong mana geh gloser  an kasih info toko mana ngeh,False,True,False,False,False,True,False,True,False,False,False,True
