Unnamed: 0,text,Recyclability_Negative,Recyclability_Neutral,Recyclability_Positive,Recyclability (PET)_Negative,Recyclability (PET)_Neutral,Recyclability (PET)_Positive,Recycling_Negative,Recycling_Neutral,Recycling_Positive,Future_Negative,Future_Neutral,Future_Positive
69,shu uemura weibo dukung masa depan sama dgn shu uemura global brand spokesperson wang yibo bantu jaga lingkung dgn plastik daur ulang program daur ulang botol kosong cleansing oil shu uemura sedang jalan wangyibo shuuemura,False,False,True,False,False,True,False,False,True,False,False,True
74,sambut datang usaha kolombia bidang daur ulang plastik dubes ri tatang razak tim ekonomi papar potensi ekonomi regulasi investasi indonesia  inidiplomasi rintiskemajuan,False,False,True,False,True,False,False,True,False,False,True,False
78,wujud komitmen dukung program perintah kait kelola sampah plastik ekonomi sirkular coca - cola diri fasilitas daur ulang botol plastik pet kelola pt amandina bumi nusantara  simak insight with hari cnn indonesia ,False,False,True,False,False,True,False,True,False,False,False,True
81,pasuk masa tenang milu kelola sampah alat aga kampanye  apk  beberapa daerah daur ulang akhir jadi sampah  kampanye urban greenpeace indonesia atha rasyadi kata baliho bahan plastik pvc vinyl,False,True,False,False,True,False,False,True,False,True,False,False
116,jakarta fair mayor jadi ajang kenal inisiatif daur ulang botol plastik inovatif lalu acara tajuk jaga indonesia,False,False,True,False,False,True,False,False,True,False,False,True
122,tim kampanye jelajah bersih negeri singgah pabrik daur ulang plastik veolia indonesia kawasan pasuruan industrial estate rembang  pier  pasuruan jawa timur februari ,False,False,True,False,True,False,False,True,False,False,True,False
137,perlu laku usaha amdk  komitmen usaha tanggulang sampah plastik indonesia target kampanye nasional didik daur ulang jangkau juta konsumen juta anak - anak ,False,False,True,False,True,False,False,True,False,False,False,True
211,olah sampah plastik program bersih indonesia buka  lapang kerja,False,False,True,False,True,False,False,False,True,False,True,False
260,ngomongin sampah danone aqua kalian sering dengar lihat kampanye danone aqua soal peduli lingkung jelang hari bumi  nah momen hari bumi pas banget buat lihat janji  amp  komitmen soal sampah plastik,False,False,True,False,True,False,False,True,False,False,True,False
313,soal pabrik daur ulang plastik pemkot tasikmalaya tak kutik bodoh kalian pakai regulasi lingkung hidup donk kalian,True,False,False,False,True,False,False,True,False,False,True,False
323,nyata limbah plastik rumah lelang  aqua kenal program lelang sampah solusi inovatif buat masalah sampah  keren banget ,False,False,True,False,True,False,False,True,False,False,True,False
329,sampah plastik jadi solusi  yuk cari tahu cara program yok gas klbbri berkahramadan qrisbri,False,False,True,False,True,False,False,True,False,False,True,False
354,brin iaea kerja sama kembang program nuclear technology for controlling plastic pollution  nutec plastic  solusi daur ulang limbah plastik,False,False,True,False,False,True,False,False,True,False,False,True
356,brin kerja sama badan energi atom internasional  iaea  kembang program nuclear technology for controlling plastic pollution  nutec plastic  solusi daur ulang limbah plastik  amp  nbsp ,False,False,True,False,True,False,False,True,False,False,False,True
