"Unnamed: 0","annotation_id","annotator","created_at","date_created","id","lead_time","sentimenteffective","sentimentpet","sentimentprocess","sentimentrecycle","tweet","updated_at"
"",683,"1","2025-04-28T07:36:11.382161Z","Fri Nov 04 01:30:29 +0000 2022",1475,109.839,"Positive","Neutral","Positive","Positive","selain memiliki Bank Sampah untuk mata pencaharian para ortu anak dan kreativitas para dewasa olah sampah sejak pandemi Busa Pustaka di Bandar Lampung juga memiliki kegiatan olah sampah plastik untuk anak. kadang mereka jual kadang buat sendiri. yang penting jadi kreatif ","2025-04-28T07:36:11.382161Z"
"",684,"1","2025-04-28T07:36:23.041469Z","Tue Sep 01 15:19:03 +0000 2020",1476,10.645,"Positive","Positive","Positive","Positive","Kolaborasi Aqua dan H&amp;M Olah Sampah Botol Plastik Jadi Pakaian Anak-Anak ","2025-04-28T07:36:23.041469Z"
"",685,"1","2025-04-28T07:38:25.898990Z","Sat Nov 27 09:13:02 +0000 2021",1477,137.13,"Neutral","Negative","Negative","Negative","Thankyou Hero --------------------------------------- Reposted from @aeshnina DAUR ULANG BUKAN SOLUSI Mengunjungi Amsterdam plastic reycling centre. Hanya 60%sampah plastik yang dapat mereka olah menjadi scrap plastik. 40%sampah harus berakhir di incenerator. ","2025-04-28T07:38:46.331385Z"
"",686,"1","2025-04-28T07:39:57.788080Z","Tue Feb 18 18:47:05 +0000 2020",1478,70.626,"Neutral","Neutral","Positive","Positive","Hebat! Udinus Semarang Berhasil Olah Sampah Plastik Jadi Campuran Aspal!  ","2025-04-28T07:39:57.788080Z"
"",687,"1","2025-04-28T07:40:19.590149Z","Sat Feb 12 23:06:33 +0000 2022",1479,19.683,"Neutral","Neutral","Positive","Positive","Perjalanan Edy Ginting hingga Bisa Olah Sampah Plastik Jadi Lukisan ","2025-04-28T07:40:19.590149Z"
"",688,"1","2025-04-28T07:40:23.759285Z","Thu Sep 16 12:01:05 +0000 2021",1480,3.287,"Neutral","Neutral","Positive","Positive","VIDEO: Peduli Lingkungan Seniman Ini Olah Sampah Plastik Jadi Lukisan Estetik ","2025-04-28T07:40:23.759285Z"
"",689,"1","2025-04-28T07:40:39.516107Z","Mon Jan 07 10:43:07 +0000 2019",1481,16.933,"Neutral","Neutral","Neutral","Positive","[VIDEO] Sejumlah Desa di Klungkung Olah Sampah Plastik Jadi Bahan Bakar  ","2025-04-28T07:40:41.980141Z"
"",690,"1","2025-04-28T07:43:06.954328Z","Mon Mar 28 05:18:23 +0000 2022",1482,17.717,"Neutral","Negative","Neutral","Negative","Ternyata mayoritas sampah yang ada di Bantargebang adalah sampah plastic dan sisa makanan lhoo. Makanya kurangi penggunaan barang plastik &amp; olah sampah organic menjadi lebih berguna. Misalnya untuk kompos atau eco enzyme. Supaya gunungan sampah di Bantargebang bisa berkurang. ","2025-04-28T07:43:06.954328Z"
"",691,"1","2025-04-28T07:44:48.645823Z","Wed Dec 01 11:48:35 +0000 2021",1483,100.786,"Neutral","Neutral","Positive","Positive","ASN di Jember Peduli Lingkungan Olah Sampah Plastik jadi Kerajinan  ","2025-04-28T07:44:48.645823Z"
"",692,"1","2025-04-28T07:48:35.899288Z","Wed Sep 15 13:20:44 +0000 2021",1484,45.525,"Positive","Neutral","Positive","Positive","Anak LPKA Lombok Tengah Olah Sampah Plastik Jadi Kerajinan  ","2025-04-28T07:48:35.899288Z"
"",693,"1","2025-04-28T07:48:40.529020Z","Mon Feb 17 07:27:21 +0000 2020",1485,4.607,"Neutral","Neutral","Neutral","Positive","Olah Sampah Plastik jadi Bahan Baku Aspal Jalan  ","2025-04-28T07:48:41.796165Z"
"",694,"1","2025-04-28T07:53:29.783005Z","Tue Feb 27 05:20:37 +0000 2024",1486,12.406,"Positive","Neutral","Positive","Positive","SBI dan Pemkab Bantul Kerja Sama Olah Sampah Plastik  #beritajogja #jogja #jogjaistimewa ","2025-04-28T07:53:29.783005Z"
"",695,"1","2025-04-28T07:53:39.696226Z","Wed Jun 30 15:43:03 +0000 2021",1487,8.955,"Positive","Neutral","Positive","Positive","Komitmen Olah Sampah Plastik Bangun Pabrik Daur Ulang ","2025-04-28T07:53:39.696226Z"
"",696,"1","2025-04-28T07:53:48.388255Z","Sun Oct 04 21:08:32 +0000 2020",1488,13.658000000000001,"Positive","Neutral","Neutral","Positive","Kolaborasi Olah Sampah Plastik di Bantargebang Jadi Sumber Energi Terbarukan ","2025-04-28T07:54:27.458581Z"
